id,date_posted,complex_id,complex_name,developer,complex_class,district,okrug,lat,lon,total_area,rooms,floor,total_floors,completion_year,ready_status,metro_station,metro_line,metro_distance_min,to_center_km,price_rub,price_per_sqm,deal_type,subsidized_mortgage,mortgage_rate_at_listing,listing_year,listing_month,listing_quarter,price_mln,is_first_floor,is_last_floor,floor_ratio,subsidized_mortgage_int,distance_to_center_group,rooms_group,sale_price_group,market_type
N000023,2024-07-24,NB0080,Scandinavia Residence,FSK,economy,Rostokino,SVAO,55.82982,37.64905,46.8,1,20,22,2027,under_construction,Kitay-Gorod,Kaluzhsko-Rizhskaya,103,8.62,9657000,206300,DDU,False,18.5,2024,7,3,9.657,False,False,0.9090909090909091,0,5-10 km,1 room,7-10 mln RUB,New Builds
N000024,2025-08-06,NB0181,Green Park Residence,GK A101,business,Kurkino,SZAO,55.90692,37.39039,36.3,0,3,17,2024,completed,Pyatnitskoye Shosse,Arbatsko-Pokrovskaya,78,22.28,16549000,455900,DDU,False,19.5,2025,8,3,16.549,False,False,0.17647058823529413,0,15-25 km,Studio,15-25 mln RUB,New Builds
N000025,2024-03-24,NB0016,Odintsovo-1 Residence,FSK,comfort,Ostankinsky,SVAO,55.80846,37.63046,37.9,0,26,35,2028,under_construction,Rizhskaya,Kaluzhsko-Rizhskaya,26,6.1,10153000,267900,installment,True,18.5,2024,3,1,10.153,False,False,0.7428571428571429,1,5-10 km,Studio,10-15 mln RUB,New Builds
N000026,2026-03-13,NB0183,Symbol Residence,Samolet,economy,Marfino,SVAO,55.84195,37.60441,55.5,2,9,25,2027,under_construction,Timiryazevskaya,Serpukhovsko-Timiryazevskaya,42,9.84,9932000,178900,DDU,False,19.5,2026,3,1,9.932,False,False,0.36,0,5-10 km,2 rooms,7-10 mln RUB,New Builds
N000027,2022-02-15,NB0132,Symbol Residence,DONSTROY,comfort,Marushkinskoye,NAO,55.57454,37.25671,43.7,1,18,25,2026,under_construction,Ploshchad Ilyicha,Kalininskaya,398,30.32,5102000,116700,DDU,True,22.5,2022,2,1,5.102,False,False,0.72,1,25+ km,1 room,<7 mln RUB,New Builds
N000028,2023-04-20,NB0245,Headliner Residence,Etalon,comfort,Severny,SVAO,55.92812,37.58474,71.0,2,8,25,2025,under_construction,Timiryazevskaya,Serpukhovsko-Timiryazevskaya,147,19.5,13280000,187000,DDU,True,10.0,2023,4,2,13.28,False,False,0.32,1,15-25 km,2 rooms,10-15 mln RUB,New Builds
N000029,2022-03-26,NB0074,Polar Residence,GK Granel,economy,Mitino,SZAO,55.83551,37.3539,33.4,1,4,25,2027,under_construction,Pyatnitskoye Shosse,Arbatsko-Pokrovskaya,33,18.99,6689000,200300,DDU,True,22.5,2022,3,1,6.689,False,False,0.16,1,15-25 km,1 room,<7 mln RUB,New Builds
N000030,2023-03-17,NB0142,Symbol Residence,Samolet,comfort,Marushkinskoye,NAO,55.60235,37.24029,50.5,2,7,22,2025,under_construction,Kutuzovskaya,Filyovskaya,287,29.21,5938000,117600,DDU,True,10.0,2023,3,1,5.938,False,False,0.3181818181818182,1,25+ km,2 rooms,<7 mln RUB,New Builds
N000031,2022-06-23,NB0031,Prokshino Residence,LSR,comfort,Kuntsevo,ZAO,55.69545,37.45174,62.8,1,10,22,2025,under_construction,Krasnopresnenskaya,Koltsevaya,129,12.42,17056000,271600,DDU,True,12.0,2022,6,2,17.056,False,False,0.45454545454545453,1,10-15 km,1 room,15-25 mln RUB,New Builds
N000032,2023-05-31,NB0248,Polar Residence,GK Granel,economy,Tverskoy,CAO,55.75713,37.62087,66.0,2,5,22,2026,under_construction,Kuznetsky Most,Tagansko-Krasnopresnenskaya,14,0.36,35580000,539100,DDU,True,10.0,2023,5,2,35.58,False,False,0.22727272727272727,1,0-5 km,2 rooms,25-50 mln RUB,New Builds
N000033,2022-09-25,NB0015,Sheremetyevsky Residence,LSR,business,Novo-Peredelkino,ZAO,55.65817,37.32272,80.5,3,5,17,2025,under_construction,Slavyansky Bulvar,Arbatsko-Pokrovskaya,144,21.5,21484000,266900,trade-in,True,12.0,2022,9,3,21.484,False,False,0.29411764705882354,1,15-25 km,3 rooms,15-25 mln RUB,New Builds
N000034,2021-11-06,NB0095,Prokshino Residence,Capital Group,comfort,Dorogomilovo,ZAO,55.74352,37.55715,70.8,2,18,25,2025,under_construction,Ulitsa 1905 Goda,Tagansko-Krasnopresnenskaya,29,4.15,27993000,395400,trade-in,True,11.0,2021,11,4,27.993,False,False,0.72,1,0-5 km,2 rooms,25-50 mln RUB,New Builds
N000035,2025-04-18,NB0089,Severny Residence,LSR,economy,Mosrentgen,NAO,55.62106,37.49492,22.5,0,2,30,2027,under_construction,Yasenevo,Kaluzhsko-Rizhskaya,40,16.75,3217000,143000,trade-in,False,23.5,2025,4,2,3.217,False,False,0.06666666666666667,0,15-25 km,Studio,<7 mln RUB,New Builds
N000036,2025-02-23,NB0184,Odintsovo-1 Residence,GK A101,comfort,Gagarinsky,YuZAO,55.7074,37.55187,53.2,2,26,35,2025,completed,Komsomolskaya,Koltsevaya,121,6.74,18699000,351500,DDU,False,23.5,2025,2,1,18.699,False,False,0.7428571428571429,0,5-10 km,2 rooms,15-25 mln RUB,New Builds
N000038,2024-11-19,NB0245,Headliner Residence,Etalon,comfort,Severny,SVAO,55.92812,37.58474,73.8,2,10,25,2025,under_construction,Sukharevskaya,Kaluzhsko-Rizhskaya,216,19.5,14028000,190100,DDU,False,23.5,2024,11,4,14.028,False,False,0.4,0,15-25 km,2 rooms,10-15 mln RUB,New Builds
N000039,2024-10-28,NB0185,Metropolia Residence,MR Group,economy,Lomonosovsky,YuZAO,55.69101,37.52172,75.7,3,8,25,2026,under_construction,Profsoyuznaya,Kaluzhsko-Rizhskaya,36,9.35,24817000,327800,installment,False,23.5,2024,10,4,24.817,False,False,0.32,0,5-10 km,3 rooms,15-25 mln RUB,New Builds
N000040,2022-11-24,NB0203,Level Residence,Samolet,economy,Vnukovo,ZAO,55.62739,37.25562,58.0,2,16,25,2025,under_construction,Park Pobedy,Arbatsko-Pokrovskaya,244,26.87,10226000,176300,FZ214,True,10.0,2022,11,4,10.226,False,False,0.64,1,25+ km,2 rooms,10-15 mln RUB,New Builds
N000041,2026-03-31,NB0030,Preobrazhenie Residence,GK A101,economy,Khoroshyovsky,SAO,55.7758,37.52221,30.5,0,18,25,2027,under_construction,Shabolovskaya,Kaluzhsko-Rizhskaya,98,6.63,7538000,247200,DDU,False,19.5,2026,3,1,7.538,False,False,0.72,0,5-10 km,Studio,7-10 mln RUB,New Builds
N000042,2023-07-31,NB0161,Headliner Residence,GK A101,comfort,Koptevo,SAO,55.83663,37.49757,46.4,1,17,22,2028,under_construction,Kuznetsky Most,Tagansko-Krasnopresnenskaya,138,12.0,11676000,251600,installment,True,15.5,2023,7,3,11.676,False,False,0.7727272727272727,1,10-15 km,1 room,10-15 mln RUB,New Builds
N000043,2025-11-23,NB0043,Buninskie Luga Residence,Capital Group,comfort,Donskoy,YuAO,55.72202,37.57974,40.6,1,25,30,2027,under_construction,Kievskaya,Koltsevaya,34,4.38,11823000,291200,DDU,False,19.5,2025,11,4,11.823,False,False,0.8333333333333334,0,0-5 km,1 room,10-15 mln RUB,New Builds
N000044,2025-06-27,NB0056,Losiny Ostrov Residence,GK A101,comfort,Nagatino-Sadovniki,YuAO,55.68389,37.68348,69.2,2,24,30,2025,completed,Chkalovskaya,Lyublinsko-Dmitrovskaya,102,8.72,15635000,225900,FZ214,False,23.5,2025,6,2,15.635,False,False,0.8,0,5-10 km,2 rooms,15-25 mln RUB,New Builds
N000045,2021-08-06,NB0072,Alye Parusa Residence,FSK,economy,Meshchansky,CAO,55.77201,37.63866,67.1,2,14,30,2027,under_construction,Trubnaya,Lyublinsko-Dmitrovskaya,14,2.3,27750000,413600,trade-in,True,11.0,2021,8,3,27.75,False,False,0.4666666666666667,1,0-5 km,2 rooms,25-50 mln RUB,New Builds
N000046,2024-07-07,NB0119,Alye Parusa Residence,MR Group,comfort,Pervomayskoye,TAO,55.44192,37.09152,45.8,1,16,25,2027,under_construction,Shchukinskaya,Tagansko-Krasnopresnenskaya,565,48.05,4322000,94400,DDU,False,18.5,2024,7,3,4.322,False,False,0.64,0,25+ km,1 room,<7 mln RUB,New Builds
N000047,2023-09-19,NB0084,Prokshino Residence,LSR,business,Novo-Peredelkino,ZAO,55.66322,37.35316,69.4,2,12,17,2026,under_construction,Slavyansky Bulvar,Arbatsko-Pokrovskaya,128,19.56,23800000,342900,FZ214,True,15.5,2023,9,3,23.8,False,False,0.7058823529411765,1,15-25 km,2 rooms,15-25 mln RUB,New Builds
N000048,2023-04-01,NB0062,Symbol Residence,PIK,economy,Sokolniki,VAO,55.77626,37.69968,90.2,3,1,30,2026,under_construction,Semyonovskaya,Arbatsko-Pokrovskaya,19,5.53,21095000,233900,DDU,True,10.0,2023,4,2,21.095,True,False,0.03333333333333333,1,5-10 km,3 rooms,15-25 mln RUB,New Builds
N000049,2022-08-18,NB0108,Preobrazhenie Residence,DONSTROY,economy,Moskvorechye-Saburovo,YuAO,55.65559,37.65945,65.5,2,21,22,2028,under_construction,Novokuznetskaya,Zamoskvoretskaya,121,11.2,10623000,162200,DDU,True,12.0,2022,8,3,10.623,False,False,0.9545454545454546,1,10-15 km,2 rooms,10-15 mln RUB,New Builds
N000050,2022-01-28,NB0229,Severny Residence,Etalon,economy,Novogireyevo,VAO,55.74465,37.8309,95.0,4,8,22,2024,under_construction,Novogireyevo,Kalininskaya,21,13.19,17237000,181400,FZ214,True,22.5,2022,1,1,17.237,False,False,0.36363636363636365,1,10-15 km,4 rooms,15-25 mln RUB,New Builds
N000051,2025-03-06,NB0035,Green Park Residence,FSK,comfort,Golovinsky,SAO,55.83779,37.48871,22.0,0,14,30,2027,under_construction,Sapyornoye Pole,Bolshaya Koltsevaya,78,12.46,4849000,220400,DDU,False,23.5,2025,3,1,4.849,False,False,0.4666666666666667,0,10-15 km,Studio,<7 mln RUB,New Builds
N000052,2023-10-16,NB0176,Discovery Park Residence,Capital Group,comfort,Kuntsevo,ZAO,55.722,37.4515,39.8,1,7,25,2027,under_construction,Teatralnaya,Zamoskvoretskaya,136,11.18,11617000,291900,DDU,True,15.5,2023,10,4,11.617,False,False,0.28,1,10-15 km,1 room,10-15 mln RUB,New Builds
N000053,2026-03-27,NB0064,Polar Residence,LSR,premium,Mosrentgen,NAO,55.6173,37.47993,22.0,0,19,25,2025,completed,Filyovsky Park,Filyovskaya,181,17.57,6947000,315800,DDU,False,19.5,2026,3,1,6.947,False,False,0.76,0,15-25 km,Studio,<7 mln RUB,New Builds
N000054,2023-10-13,NB0067,Severny Residence,LSR,business,Zapadnoye Degunino,SAO,55.87736,37.52278,61.7,2,19,25,2026,under_construction,Pionerskaya,Filyovskaya,194,15.03,17790000,288300,DDU,True,15.5,2023,10,4,17.79,False,False,0.76,1,15-25 km,2 rooms,15-25 mln RUB,New Builds
N000055,2021-01-24,NB0106,Green Park Residence,PIK,comfort,Troparyovo-Nikulino,ZAO,55.65529,37.46387,53.3,2,20,25,2026,under_construction,Troparyovo,Sokolnicheskaya,11,14.73,18441000,346000,DDU,True,6.75,2021,1,1,18.441,False,False,0.8,1,10-15 km,2 rooms,15-25 mln RUB,New Builds
N000056,2024-05-17,NB0047,Scandinavia Residence,INGRAD,comfort,Severnoye Medvedkovo,SVAO,55.87809,37.63506,31.9,0,14,25,2026,under_construction,Kuznetsky Most,Tagansko-Krasnopresnenskaya,155,13.84,8040000,252000,DDU,True,18.5,2024,5,2,8.04,False,False,0.56,1,10-15 km,Studio,7-10 mln RUB,New Builds
N000058,2021-08-15,NB0030,Preobrazhenie Residence,GK A101,economy,Khoroshyovsky,SAO,55.7758,37.52221,27.5,0,25,25,2027,under_construction,Filyovsky Park,Filyovskaya,42,6.63,6135000,223100,DDU,True,11.0,2021,8,3,6.135,False,True,1.0,1,5-10 km,Studio,<7 mln RUB,New Builds
N000059,2021-05-20,NB0174,Losiny Ostrov Residence,MR Group,comfort,Yakimanka,CAO,55.75289,37.58786,28.0,0,18,25,2025,under_construction,Kievskaya,Koltsevaya,20,2.06,13218000,472100,DDU,True,11.0,2021,5,2,13.218,False,False,0.72,1,0-5 km,Studio,10-15 mln RUB,New Builds
N000060,2021-10-07,NB0176,Discovery Park Residence,Capital Group,comfort,Kuntsevo,ZAO,55.722,37.4515,33.4,1,14,25,2027,under_construction,Sokol,Zamoskvoretskaya,124,11.18,8062000,241400,DDU,True,11.0,2021,10,4,8.062,False,False,0.56,1,10-15 km,1 room,7-10 mln RUB,New Builds
N000061,2021-11-22,NB0144,ZILART Residence,LSR,comfort,Babushkinsky,SVAO,55.86778,37.64188,58.6,2,20,22,2026,under_construction,Aleksandrovsky Sad,Filyovskaya,163,12.73,11998000,204700,DDU,True,11.0,2021,11,4,11.998,False,False,0.9090909090909091,1,10-15 km,2 rooms,10-15 mln RUB,New Builds
N000062,2025-08-09,NB0052,Green Park Residence,MR Group,economy,Altufyevsky,SVAO,55.87836,37.57076,53.1,2,3,22,2024,completed,Okhotny Ryad,Sokolnicheskaya,170,14.19,10107000,190300,trade-in,False,19.5,2025,8,3,10.107,False,False,0.13636363636363635,0,10-15 km,2 rooms,10-15 mln RUB,New Builds
N000064,2025-08-29,NB0108,Preobrazhenie Residence,DONSTROY,economy,Moskvorechye-Saburovo,YuAO,55.65559,37.65945,83.6,4,16,22,2028,under_construction,Sevastopolskaya,Serpukhovsko-Timiryazevskaya,43,11.2,13672000,163500,DDU,False,19.5,2025,8,3,13.672,False,False,0.7272727272727273,0,10-15 km,4 rooms,10-15 mln RUB,New Builds
N000065,2022-05-05,NB0140,Buninskie Luga Residence,FSK,economy,Altufyevsky,SVAO,55.88543,37.59434,48.4,1,2,22,2026,under_construction,Belorusskaya,Koltsevaya,150,14.72,7705000,159200,DDU,True,12.0,2022,5,2,7.705,False,False,0.09090909090909091,1,10-15 km,1 room,7-10 mln RUB,New Builds
N000066,2021-02-28,NB0172,Polar Residence,Capital Group,comfort,Gagarinsky,YuZAO,55.69436,37.56545,52.6,2,11,17,2028,under_construction,Mayakovskaya,Zamoskvoretskaya,105,7.47,16639000,316300,DDU,True,6.75,2021,2,1,16.639,False,False,0.6470588235294118,1,5-10 km,2 rooms,15-25 mln RUB,New Builds
N000067,2026-02-28,NB0105,Headliner Residence,Capital Group,economy,Vostochny,VAO,55.80936,37.87452,65.4,3,21,22,2027,under_construction,Delovoy Tsentr,MCC,273,17.02,10693000,163500,installment,False,19.5,2026,2,1,10.693,False,False,0.9545454545454546,0,15-25 km,3 rooms,10-15 mln RUB,New Builds
N000068,2022-08-26,NB0232,Symbol Residence,GK A101,business,Khovrino,SAO,55.87676,37.47175,69.5,3,7,17,2026,under_construction,Sapyornoye Pole,Bolshaya Koltsevaya,129,16.53,18372000,264300,DDU,True,12.0,2022,8,3,18.372,False,False,0.4117647058823529,1,15-25 km,3 rooms,15-25 mln RUB,New Builds
N000069,2026-02-10,NB0237,Symbol Residence,INGRAD,business,Sokolniki,VAO,55.7909,37.67321,59.4,2,22,25,2026,completed,VDNKh,Kaluzhsko-Rizhskaya,48,5.26,23639000,398000,trade-in,False,19.5,2026,2,1,23.639,False,False,0.88,0,5-10 km,2 rooms,15-25 mln RUB,New Builds
N000070,2022-07-12,NB0233,Headliner Residence,GK A101,premium,Cheryomushki,YuZAO,55.66814,37.57402,49.3,1,5,30,2026,under_construction,Kakhovskaya,Bolshaya Koltsevaya,26,9.98,27344000,554600,DDU,True,12.0,2022,7,3,27.344,False,False,0.16666666666666666,1,5-10 km,1 room,25-50 mln RUB,New Builds
N000071,2024-08-13,NB0235,Headliner Residence,DONSTROY,comfort,Yuzhnoye Tushino,SZAO,55.83925,37.41747,42.3,1,24,25,2025,under_construction,Begovaya,Tagansko-Krasnopresnenskaya,131,15.86,10658000,252000,FZ214,False,18.5,2024,8,3,10.658,False,False,0.96,0,15-25 km,1 room,10-15 mln RUB,New Builds
N000072,2025-11-01,NB0090,Odintsovo-1 Residence,INGRAD,business,Pokrovskoye-Streshnevo,SZAO,55.82281,37.43596,84.3,3,10,22,2027,under_construction,Kutuzovskaya,Filyovskaya,136,13.87,30494000,361700,installment,False,19.5,2025,11,4,30.494,False,False,0.45454545454545453,0,10-15 km,3 rooms,25-50 mln RUB,New Builds
N000073,2022-05-29,NB0055,Symbol Residence,FSK,economy,Dorogomilovo,ZAO,55.75278,37.58166,29.8,0,9,25,2025,under_construction,Leninsky Prospekt,Kaluzhsko-Rizhskaya,65,2.45,9297000,312000,DDU,True,12.0,2022,5,2,9.297,False,False,0.36,1,0-5 km,Studio,7-10 mln RUB,New Builds
N000074,2023-09-01,NB0190,Triumph Palace Residence,FSK,economy,Koptevo,SAO,55.84371,37.51231,38.2,1,12,25,2027,under_construction,Timiryazevskaya,Serpukhovsko-Timiryazevskaya,64,12.07,7591000,198700,DDU,True,15.5,2023,9,3,7.591,False,False,0.48,1,10-15 km,1 room,7-10 mln RUB,New Builds
N000075,2023-08-25,NB0133,Odintsovo-1 Residence,Capital Group,economy,Zelenograd,ZelAO,55.96562,37.21189,42.9,1,2,25,2027,under_construction,Sokol,Zamoskvoretskaya,319,34.72,4964000,115700,DDU,True,15.5,2023,8,3,4.964,False,False,0.08,1,25+ km,1 room,<7 mln RUB,New Builds
N000076,2021-01-27,NB0046,Sheremetyevsky Residence,PIK,economy,Ryazanovskoye,NAO,55.46018,37.48158,58.7,2,17,22,2026,under_construction,Pechatniki,Lyublinsko-Dmitrovskaya,367,33.81,5233000,89200,DDU,True,6.75,2021,1,1,5.233,False,False,0.7727272727272727,1,25+ km,2 rooms,<7 mln RUB,New Builds
N000077,2023-09-26,NB0243,Prokshino Residence,GK A101,economy,Sokolinaya Gora,VAO,55.78927,37.71216,86.6,3,22,30,2025,under_construction,Tverskaya,Zamoskvoretskaya,87,6.94,16315000,188400,DDU,True,15.5,2023,9,3,16.315,False,False,0.7333333333333333,1,5-10 km,3 rooms,15-25 mln RUB,New Builds
N000078,2021-08-16,NB0078,Sheremetyevsky Residence,LSR,business,Levoberezhny,SAO,55.86285,37.47939,41.8,1,20,30,2027,under_construction,Rechnoy Vokzal,Zamoskvoretskaya,23,14.99,11664000,279100,trade-in,True,11.0,2021,8,3,11.664,False,False,0.6666666666666666,1,10-15 km,1 room,10-15 mln RUB,New Builds
N000079,2023-06-29,NB0169,Metropolia Residence,GK A101,comfort,Losinoostrovsky,SVAO,55.88507,37.71044,47.0,1,4,25,2026,under_construction,Preobrazhenskaya Ploshchad,Sokolnicheskaya,122,15.62,8920000,189800,DDU,True,10.0,2023,6,2,8.92,False,False,0.16,1,15-25 km,1 room,7-10 mln RUB,New Builds
N000080,2023-08-31,NB0089,Severny Residence,LSR,economy,Mosrentgen,NAO,55.62106,37.49492,80.9,3,28,30,2027,under_construction,Tyoply Stan,Kaluzhsko-Rizhskaya,14,16.75,16171000,199900,FZ214,True,15.5,2023,8,3,16.171,False,False,0.9333333333333333,1,15-25 km,3 rooms,15-25 mln RUB,New Builds
N000081,2021-05-03,NB0023,Prokshino Residence,INGRAD,economy,Krylatskoye,SZAO,55.76317,37.41735,22.0,1,3,22,2025,under_construction,Vystavochnaya,Filyovskaya,97,12.77,5121000,232800,DDU,True,11.0,2021,5,2,5.121,False,False,0.13636363636363635,1,10-15 km,1 room,<7 mln RUB,New Builds
N000082,2024-10-08,NB0245,Headliner Residence,Etalon,comfort,Severny,SVAO,55.92812,37.58474,66.9,2,25,25,2025,under_construction,Tverskaya,Zamoskvoretskaya,223,19.5,12286000,183700,trade-in,False,23.5,2024,10,4,12.286,False,True,1.0,0,15-25 km,2 rooms,10-15 mln RUB,New Builds
N000083,2021-07-01,NB0206,Silver Park Residence,Capital Group,comfort,Shchapovskoye,TAO,55.36577,37.51306,60.7,2,12,35,2026,under_construction,Timiryazevskaya,Serpukhovsko-Timiryazevskaya,610,43.69,4646000,76500,DDU,True,11.0,2021,7,3,4.646,False,False,0.34285714285714286,1,25+ km,2 rooms,<7 mln RUB,New Builds
